stage,alpha,solver,accuracy(%),score_standard_deviation(%),tempo(s)
stage5,0.1,auto,90.67356851331623,0.6698082553408983,5.604457855224609
stage5,0.1,svd,90.67356851331623,0.6698082553408983,5.292807102203369
stage5,0.6,svd,90.66581056141553,0.6903749310191762,4.913584232330322
stage5,0.6,auto,90.66581056141553,0.6903749310191762,5.314286470413208
stage5,0.8,auto,90.65805260951481,0.7119478236901723,5.105010747909546
stage5,0.8,svd,90.65805260951481,0.7119478236901723,4.964094877243042
stage5,0.3,auto,90.65029465761413,0.6905184085929057,5.7589497566223145
stage5,0.3,svd,90.65029465761413,0.6905184085929057,5.159008026123047
stage5,0.4,auto,90.65029465761413,0.7068849151942811,5.470465421676636
stage5,0.4,svd,90.65029465761413,0.7068849151942811,5.1215338706970215
stage5,0.5,auto,90.65029465761413,0.7051800129197398,5.410396575927734
stage5,0.5,svd,90.65029465761413,0.7051800129197398,4.952086925506592
stage5,0.7,auto,90.65029465761413,0.7026149027453602,5.422572612762451
stage5,0.7,svd,90.65029465761413,0.7026149027453602,5.0446412563323975
stage5,0.9,auto,90.65028863435953,0.7095100481750591,4.950386047363281
stage5,0.9,svd,90.65028863435953,0.7095100481750591,4.972986459732056
stage5,1.0,auto,90.65028863435953,0.7095100481750591,5.3641133308410645
stage5,1.0,svd,90.65028863435953,0.7095100481750591,5.240598440170288
stage5,0.2,svd,90.64253068245884,0.6826393594665034,5.123757600784302
stage5,0.2,auto,90.64253068245884,0.6826393594665034,5.638259649276733
