stage,n_neighbors,weights,leaf_size,p,accuracy(%),score_standard_deviation(%),tempo(s)
stage2,160,distance,120,2,75.80216766654011,0.7768859381783251,49.32827568054199
stage2,160,distance,60,2,75.80216766654011,0.7768859381783251,49.47519612312317
stage2,160,distance,30,2,75.80216766654011,0.7768859381783251,50.03334355354309
stage2,160,distance,15,2,75.80216766654011,0.7768859381783251,42.865395307540894
stage2,80,distance,30,2,75.79708896464759,0.8541531745656658,41.26086664199829
stage2,80,distance,15,2,75.79708896464759,0.8541531745656658,46.04088115692139
stage2,80,distance,120,2,75.79708896464759,0.8541531745656658,49.422752380371094
stage2,80,distance,60,2,75.79708896464759,0.8541531745656658,47.96835231781006
stage2,80,uniform,15,2,75.73371760850056,0.9144142379349135,46.35169315338135
stage2,80,uniform,30,2,75.73371760850056,0.9144142379349135,48.483720541000366
stage2,80,uniform,60,2,75.73371760850056,0.9144142379349135,53.99253797531128
stage2,80,uniform,120,2,75.73371760850056,0.9144142379349135,45.72460055351257
stage2,160,uniform,15,2,75.66531059030757,0.7469956949915264,49.94239139556885
stage2,160,uniform,30,2,75.66531059030757,0.7469956949915264,43.30407238006592
stage2,160,uniform,60,2,75.66531059030757,0.7469956949915264,47.94181990623474
stage2,160,uniform,120,2,75.66531059030757,0.7469956949915264,37.06153202056885
stage2,40,distance,120,2,75.58165461872156,0.9238677673433954,48.690786600112915
stage2,40,distance,60,2,75.58165461872156,0.9238677673433954,43.11197638511658
stage2,40,distance,30,2,75.58165461872156,0.9238677673433954,45.278979778289795
stage2,40,distance,15,2,75.58165461872156,0.9238677673433954,38.67889046669006
stage2,40,uniform,120,2,75.46252289302285,0.954280462269258,47.7739794254303
stage2,40,uniform,60,2,75.46252289302285,0.954280462269258,52.68590450286865
stage2,40,uniform,30,2,75.46252289302285,0.954280462269258,55.426886558532715
stage2,40,uniform,15,2,75.46252289302285,0.954280462269258,50.07482624053955
stage2,20,distance,30,2,75.13050195381632,0.7180221116156297,50.19797134399414
stage2,20,distance,120,2,75.13050195381632,0.7180221116156297,48.86164093017578
stage2,20,distance,60,2,75.13050195381632,0.7180221116156297,47.3800265789032
stage2,20,distance,15,2,75.13050195381632,0.7180221116156297,45.9767644405365
stage2,20,uniform,60,2,75.03671748580489,0.822342593602326,44.799081563949585
stage2,20,uniform,30,2,75.03671748580489,0.822342593602326,51.957924127578735
stage2,20,uniform,15,2,75.03671748580489,0.822342593602326,49.683711528778076
stage2,20,uniform,120,2,75.03671748580489,0.822342593602326,52.58640098571777
stage2,10,distance,120,2,74.1394979241304,0.5977505736750648,54.71636509895325
stage2,10,distance,60,2,74.1394979241304,0.5977505736750648,49.55381941795349
stage2,10,distance,30,2,74.1394979241304,0.5977505736750648,51.34495401382446
stage2,10,distance,15,2,74.1394979241304,0.5977505736750648,48.72089457511902
stage2,10,uniform,30,2,73.99754608636106,0.6769911735395313,49.110880851745605
stage2,10,uniform,120,2,73.99754608636106,0.6769911735395313,49.780784606933594
stage2,10,uniform,60,2,73.99754608636106,0.6769911735395313,48.844316720962524
stage2,10,uniform,15,2,73.99754608636106,0.6769911735395313,45.71278786659241
stage2,5,uniform,120,2,73.38925686887043,0.5147676084853152,45.68795204162598
stage2,5,uniform,15,2,73.38925686887043,0.5147676084853152,40.246870040893555
stage2,5,uniform,30,2,73.38925686887043,0.5147676084853152,39.736398458480835
stage2,5,uniform,60,2,73.38925686887043,0.5147676084853152,54.44675374031067
stage2,5,distance,60,2,73.14339527859308,0.49035736201211527,48.35917139053345
stage2,5,distance,15,2,73.14339527859308,0.49035736201211527,40.45595169067383
stage2,5,distance,30,2,73.14339527859308,0.49035736201211527,43.06574583053589
stage2,5,distance,120,2,73.14339527859308,0.49035736201211527,48.163344621658325
stage2,3,uniform,120,2,71.71388202071437,0.6849880902957337,36.263564348220825
stage2,3,uniform,60,2,71.71388202071437,0.6849880902957337,40.11936950683594
stage2,3,uniform,30,2,71.71388202071437,0.6849880902957337,40.889161109924316
stage2,3,uniform,15,2,71.71388202071437,0.6849880902957337,58.93450212478638
stage2,3,distance,30,2,71.49843996615913,0.6842198818217101,39.94453191757202
stage2,3,distance,15,2,71.49843996615913,0.6842198818217101,39.137375354766846
stage2,3,distance,60,2,71.49843996615913,0.6842198818217101,45.349021673202515
stage2,3,distance,120,2,71.49843996615913,0.6842198818217101,43.96441650390625
