stage,n_neighbors,weights,leaf_size,p,accuracy(%),score_standard_deviation(%),tempo(s)
stage4,10,uniform,120,2,77.51644736842105,3.621709862379169,0.18804454803466797
stage4,10,uniform,15,2,77.51644736842105,3.621709862379169,0.1741039752960205
stage4,10,uniform,60,2,77.51644736842105,3.621709862379169,0.20528602600097656
stage4,10,uniform,30,2,77.51644736842105,3.621709862379169,0.18219614028930664
stage4,10,distance,120,2,77.30372807017545,2.495713517041024,0.16501927375793457
stage4,10,distance,60,2,77.30372807017545,2.495713517041024,0.1748368740081787
stage4,10,distance,30,2,77.30372807017545,2.495713517041024,0.17261552810668945
stage4,10,distance,15,2,77.30372807017545,2.495713517041024,0.2982051372528076
stage4,40,distance,30,2,76.99122807017544,2.445382927236286,0.17714715003967285
stage4,40,distance,15,2,76.99122807017544,2.445382927236286,0.17365336418151855
stage4,40,distance,120,2,76.99122807017544,2.445382927236286,0.17839550971984863
stage4,40,distance,60,2,76.99122807017544,2.445382927236286,0.17570137977600098
stage4,20,distance,15,2,76.89144736842105,3.6500223263482736,0.16738367080688477
stage4,20,distance,120,2,76.89144736842105,3.6500223263482736,0.17219853401184082
stage4,20,distance,60,2,76.89144736842105,3.6500223263482736,0.1600322723388672
stage4,20,distance,30,2,76.89144736842105,3.6500223263482736,0.17804455757141113
stage4,80,distance,60,2,76.8826754385965,3.1276998571152625,0.17846059799194336
stage4,80,distance,30,2,76.8826754385965,3.1276998571152625,0.17161178588867188
stage4,80,distance,15,2,76.8826754385965,3.1276998571152625,0.16588068008422852
stage4,80,distance,120,2,76.8826754385965,3.1276998571152625,0.19687342643737793
stage4,20,uniform,15,2,76.67653508771929,3.324432114842435,0.1707932949066162
stage4,20,uniform,120,2,76.67653508771929,3.324432114842435,0.17521977424621582
stage4,20,uniform,60,2,76.67653508771929,3.324432114842435,0.1694333553314209
stage4,20,uniform,30,2,76.67653508771929,3.324432114842435,0.17565178871154785
stage4,5,uniform,15,2,76.04824561403508,4.298629368833766,0.1868724822998047
stage4,5,uniform,30,2,76.04824561403508,4.298629368833766,0.16814255714416504
stage4,5,uniform,60,2,76.04824561403508,4.298629368833766,0.16779756546020508
stage4,5,uniform,120,2,76.04824561403508,4.298629368833766,0.170576810836792
stage4,40,uniform,15,2,75.93969298245614,2.7460442340650086,0.17644643783569336
stage4,40,uniform,30,2,75.93969298245614,2.7460442340650086,0.18348956108093262
stage4,40,uniform,60,2,75.93969298245614,2.7460442340650086,0.18334484100341797
stage4,40,uniform,120,2,75.93969298245614,2.7460442340650086,0.18625187873840332
stage4,3,distance,15,2,75.8421052631579,4.217988977846677,0.1690058708190918
stage4,3,distance,30,2,75.8421052631579,4.217988977846677,0.17126059532165527
stage4,3,distance,60,2,75.8421052631579,4.217988977846677,0.19258570671081543
stage4,3,distance,120,2,75.8421052631579,4.217988977846677,0.17055606842041016
stage4,160,distance,30,2,75.83662280701755,3.433821375914848,0.18213820457458496
stage4,160,distance,60,2,75.83662280701755,3.433821375914848,0.16741585731506348
stage4,160,distance,15,2,75.83662280701755,3.433821375914848,0.17700409889221191
stage4,160,distance,120,2,75.83662280701755,3.433821375914848,0.16745996475219727
stage4,3,uniform,30,2,75.73574561403508,3.8252914372967,0.1916663646697998
stage4,3,uniform,120,2,75.73574561403508,3.8252914372967,0.18245172500610352
stage4,3,uniform,60,2,75.73574561403508,3.8252914372967,0.17391085624694824
stage4,3,uniform,15,2,75.73574561403508,3.8252914372967,0.49515485763549805
stage4,5,distance,120,2,75.73245614035088,4.341816732394851,0.17504334449768066
stage4,5,distance,60,2,75.73245614035088,4.341816732394851,0.17469143867492676
stage4,5,distance,30,2,75.73245614035088,4.341816732394851,0.1655137538909912
stage4,5,distance,15,2,75.73245614035088,4.341816732394851,0.1882786750793457
stage4,80,uniform,15,2,75.41776315789474,3.290224512264316,0.1915881633758545
stage4,80,uniform,30,2,75.41776315789474,3.290224512264316,0.20551037788391113
stage4,80,uniform,60,2,75.41776315789474,3.290224512264316,0.1811540126800537
stage4,80,uniform,120,2,75.41776315789474,3.290224512264316,0.18079566955566406
stage4,160,uniform,15,2,73.11293859649123,3.379856441458144,0.18358564376831055
stage4,160,uniform,30,2,73.11293859649123,3.379856441458144,0.17003583908081055
stage4,160,uniform,60,2,73.11293859649123,3.379856441458144,0.17115068435668945
stage4,160,uniform,120,2,73.11293859649123,3.379856441458144,0.18893694877624512
