stage,n_neighbors,weights,leaf_size,p,accuracy(%),score_standard_deviation(%),tempo(s)
stage5,40,uniform,15,2,77.54932627526468,1.0648055662961886,1.365049123764038
stage5,40,uniform,30,2,77.54932627526468,1.0648055662961886,1.3590002059936523
stage5,40,uniform,60,2,77.54932627526468,1.0648055662961886,1.365117073059082
stage5,40,uniform,120,2,77.54932627526468,1.0648055662961886,1.3969199657440186
stage5,80,uniform,30,2,77.4723291626564,1.0887250579413599,1.3623437881469727
stage5,80,uniform,15,2,77.4723291626564,1.0887250579413599,1.3400053977966309
stage5,80,uniform,60,2,77.4723291626564,1.0887250579413599,1.424844741821289
stage5,80,uniform,120,2,77.4723291626564,1.0887250579413599,1.3578219413757324
stage5,80,distance,15,2,77.45307063004368,0.9757031324086505,1.3031725883483887
stage5,80,distance,120,2,77.45307063004368,0.9757031324086505,1.273108959197998
stage5,80,distance,60,2,77.45307063004368,0.9757031324086505,1.2997214794158936
stage5,80,distance,30,2,77.45307063004368,0.9757031324086505,1.2984111309051514
stage5,160,distance,120,2,77.4434922632709,1.1628216845359032,1.3427040576934814
stage5,160,distance,60,2,77.4434922632709,1.1628216845359032,1.3433146476745605
stage5,160,distance,30,2,77.4434922632709,1.1628216845359032,1.3503408432006836
stage5,160,distance,15,2,77.4434922632709,1.1628216845359032,1.310396432876587
stage5,160,uniform,15,2,77.39543384911526,1.1433742565980294,1.3963353633880615
stage5,160,uniform,30,2,77.39543384911526,1.1433742565980294,1.3927178382873535
stage5,160,uniform,120,2,77.39543384911526,1.1433742565980294,1.3996572494506836
stage5,160,uniform,60,2,77.39543384911526,1.1433742565980294,1.4679064750671387
stage5,40,distance,30,2,77.25113829865997,0.9700862324218351,1.3255274295806885
stage5,40,distance,15,2,77.25113829865997,0.9700862324218351,1.2878992557525635
stage5,40,distance,60,2,77.25113829865997,0.9700862324218351,1.306340217590332
stage5,40,distance,120,2,77.25113829865997,0.9700862324218351,1.2907631397247314
stage5,20,uniform,15,2,76.83748241652478,1.0693444404437888,1.3116154670715332
stage5,20,uniform,30,2,76.83748241652478,1.0693444404437888,1.3137967586517334
stage5,20,uniform,60,2,76.83748241652478,1.0693444404437888,1.362825870513916
stage5,20,uniform,120,2,76.83748241652478,1.0693444404437888,1.3521685600280762
stage5,20,distance,60,2,76.72216258236469,1.1892860197989636,1.3451826572418213
stage5,20,distance,120,2,76.72216258236469,1.1892860197989636,1.267460584640503
stage5,20,distance,15,2,76.72216258236469,1.1892860197989636,1.2909114360809326
stage5,20,distance,30,2,76.72216258236469,1.1892860197989636,1.3094398975372314
stage5,10,distance,120,2,76.04872473532242,1.3929705199836468,1.2810425758361816
stage5,10,distance,60,2,76.04872473532242,1.3929705199836468,1.2716548442840576
stage5,10,distance,30,2,76.04872473532242,1.3929705199836468,1.2982971668243408
stage5,10,distance,15,2,76.04872473532242,1.3929705199836468,1.3074040412902832
stage5,10,uniform,120,2,75.62550899533575,1.319816118493578,1.3431181907653809
stage5,10,uniform,60,2,75.62550899533575,1.319816118493578,1.3392114639282227
stage5,10,uniform,30,2,75.62550899533575,1.319816118493578,1.3524398803710938
stage5,10,uniform,15,2,75.62550899533575,1.319816118493578,1.3614470958709717
stage5,5,uniform,120,2,75.04824350336861,1.1916558439947968,1.3168013095855713
stage5,5,uniform,15,2,75.04824350336861,1.1916558439947968,1.3842732906341553
stage5,5,uniform,30,2,75.04824350336861,1.1916558439947968,1.3572750091552734
stage5,5,uniform,60,2,75.04824350336861,1.1916558439947968,1.3697304725646973
stage5,5,distance,30,2,74.74042163322721,1.142601503837275,1.2705321311950684
stage5,5,distance,15,2,74.74042163322721,1.142601503837275,1.257873773574829
stage5,5,distance,60,2,74.74042163322721,1.142601503837275,1.2670934200286865
stage5,5,distance,120,2,74.74042163322721,1.142601503837275,1.299391269683838
stage5,3,uniform,30,2,73.60533427111868,1.244799494408186,1.335587501525879
stage5,3,uniform,120,2,73.60533427111868,1.244799494408186,1.3025240898132324
stage5,3,uniform,60,2,73.60533427111868,1.244799494408186,1.3094165325164795
stage5,3,uniform,15,2,73.60533427111868,1.244799494408186,2.316056489944458
stage5,3,distance,120,2,73.46111275634856,1.3368117145840364,1.2299377918243408
stage5,3,distance,60,2,73.46111275634856,1.3368117145840364,1.2488436698913574
stage5,3,distance,30,2,73.46111275634856,1.3368117145840364,1.2985591888427734
stage5,3,distance,15,2,73.46111275634856,1.3368117145840364,1.2781689167022705
