stage,criterion,min_samples_split,min_samples_leaf,accuracy(%),score_standard_deviation(%),tempo(s)
awake,gini,32,20,94.35878306184748,0.2249205775940166,98.08646869659424
awake,gini,40,18,94.35550571964959,0.29792873728402425,99.3090090751648
awake,gini,22,20,94.35550114573796,0.24510220135353353,97.94494366645813
awake,gini,26,20,94.35221976773569,0.23985744903085615,98.25383067131042
awake,gini,40,20,94.35057880968095,0.23282944091839736,97.97682666778564
awake,gini,26,18,94.34402627771415,0.3005940907678475,99.86313724517822
awake,gini,36,20,94.34401766799816,0.22857450723593217,97.90425133705139
awake,gini,40,16,94.34237859331877,0.2987318048523971,102.50834369659424
awake,gini,22,18,94.33910286544263,0.29500742818938197,99.26177906990051
awake,gini,18,20,94.32925415752422,0.23930588529417285,97.524911403656
awake,gini,18,18,94.3144995258199,0.3129990093117262,100.75375604629517
awake,gini,36,18,94.30465619897399,0.29236023381510995,98.97714304924011
awake,gini,22,16,94.30136863273837,0.2808010800405085,102.75613021850586
awake,gini,32,18,94.29645490639734,0.3004515191345373,99.51912641525269
awake,gini,32,16,94.28824581126555,0.25943905440561255,102.64159417152405
awake,gini,36,16,94.27184349516585,0.25011437847468926,100.92720651626587
awake,gini,18,16,94.26364031921383,0.2938034623680117,103.17625164985657
awake,gini,26,16,94.26363951205296,0.26593687960987833,102.6333544254303
