stage,n_neighbors,weights,leaf_size,p,accuracy(%),score_standard_deviation(%),tempo(s)
awake,80,distance,30,2,76.92661363296867,0.532817460144574,134.7224235534668
awake,80,distance,15,2,76.92661363296867,0.532817460144574,145.2711341381073
awake,80,distance,120,2,76.92661363296867,0.532817460144574,129.92674565315247
awake,80,distance,60,2,76.92661363296867,0.532817460144574,130.27968978881836
awake,160,distance,120,2,76.91184877722661,0.5905135594904197,138.1825499534607
awake,160,distance,60,2,76.91184877722661,0.5905135594904197,143.4305603504181
awake,160,distance,30,2,76.91184877722661,0.5905135594904197,137.14288568496704
awake,160,distance,15,2,76.91184877722661,0.5905135594904197,139.22815370559692
awake,80,uniform,15,2,76.90365178950795,0.5365879872905631,130.76332592964172
awake,80,uniform,60,2,76.90365178950795,0.5365879872905631,138.41940450668335
awake,80,uniform,120,2,76.90365178950795,0.5365879872905631,161.37073397636414
awake,80,uniform,30,2,76.90365178950795,0.5365879872905631,130.67784810066223
awake,160,uniform,15,2,76.81178800339394,0.5399828841228191,142.2570264339447
awake,160,uniform,60,2,76.81178800339394,0.5399828841228191,141.73036861419678
awake,160,uniform,120,2,76.81178800339394,0.5399828841228191,133.9516999721527
awake,160,uniform,30,2,76.81178800339394,0.5399828841228191,135.32303953170776
awake,40,distance,120,2,76.71828783313681,0.487905880281969,137.37218737602234
awake,40,distance,60,2,76.71828783313681,0.487905880281969,133.49772715568542
awake,40,distance,30,2,76.71828783313681,0.487905880281969,133.7729570865631
awake,40,distance,15,2,76.71828783313681,0.487905880281969,125.84901356697083
awake,40,uniform,30,2,76.69367749811984,0.5117011122897828,127.29574751853943
awake,40,uniform,15,2,76.69367749811984,0.5117011122897828,136.38334894180298
awake,40,uniform,120,2,76.69367749811984,0.5117011122897828,128.80446314811707
awake,40,uniform,60,2,76.69367749811984,0.5117011122897828,130.18884992599487
awake,20,uniform,15,2,76.4230251571596,0.3676391233032483,129.91449785232544
awake,20,uniform,30,2,76.4230251571596,0.3676391233032483,137.78599572181702
awake,20,uniform,60,2,76.4230251571596,0.3676391233032483,127.14798831939697
awake,20,uniform,120,2,76.4230251571596,0.3676391233032483,129.9930226802826
awake,20,distance,60,2,76.26883052505924,0.33477697676668045,126.0037591457367
awake,20,distance,120,2,76.26883052505924,0.33477697676668045,127.46646213531494
awake,20,distance,15,2,76.26883052505924,0.33477697676668045,125.73580574989319
awake,20,distance,30,2,76.26883052505924,0.33477697676668045,132.66178178787231
awake,10,uniform,120,2,75.76195286869279,0.279604620346213,123.20404052734375
awake,10,uniform,60,2,75.76195286869279,0.279604620346213,137.2108097076416
awake,10,uniform,30,2,75.76195286869279,0.279604620346213,130.357159614563
awake,10,uniform,15,2,75.76195286869279,0.279604620346213,120.62949991226196
awake,10,distance,120,2,75.46340450985534,0.3089641386940233,136.36384963989258
awake,10,distance,60,2,75.46340450985534,0.3089641386940233,123.95304751396179
awake,10,distance,30,2,75.46340450985534,0.3089641386940233,134.41111421585083
awake,10,distance,15,2,75.46340450985534,0.3089641386940233,128.4856629371643
awake,5,uniform,120,2,74.28563061003712,0.5329172002373799,155.07342433929443
awake,5,uniform,15,2,74.28563061003712,0.5329172002373799,144.5928933620453
awake,5,uniform,30,2,74.28563061003712,0.5329172002373799,146.88030457496643
awake,5,uniform,60,2,74.28563061003712,0.5329172002373799,153.83387231826782
awake,5,distance,30,2,74.15768511857947,0.5730582314761283,137.5886332988739
awake,5,distance,15,2,74.15768511857947,0.5730582314761283,112.97561693191528
awake,5,distance,60,2,74.15768511857947,0.5730582314761283,127.71143460273743
awake,5,distance,120,2,74.15768511857947,0.5730582314761283,138.1503975391388
awake,3,uniform,30,2,72.9208512576858,0.5543046633383187,127.8950731754303
awake,3,uniform,120,2,72.9208512576858,0.5543046633383187,146.57237100601196
awake,3,uniform,60,2,72.9208512576858,0.5543046633383187,141.27989888191223
awake,3,uniform,15,2,72.9208512576858,0.5543046633383187,288.63700819015503
awake,3,distance,120,2,72.72892885016815,0.5904044163227989,144.1797845363617
awake,3,distance,60,2,72.72892885016815,0.5904044163227989,133.59966707229614
awake,3,distance,30,2,72.72892885016815,0.5904044163227989,142.74591326713562
awake,3,distance,15,2,72.72892885016815,0.5904044163227989,139.8005073070526
