stage,criterion,bootstrap,max_features,min_samples_leaf,min_samples_split,n_estimators,max_depth,accuracy(%),score_standard_deviation(%),tempo(s)
stage4,gini,False,auto,4,5,100,None,93.30592105263158,2.098933111878738,4.862030506134033
stage4,entropy,True,auto,2,5,100,None,93.20175438596492,2.816629650026943,3.16011381149292
stage4,entropy,False,auto,4,10,100,None,93.20175438596492,2.103434878645928,4.776417970657349
stage4,gini,False,auto,4,10,100,None,93.19956140350877,2.5773692808699935,4.912623405456543
stage4,gini,True,auto,2,5,100,None,93.09758771929826,2.1430681921399293,3.2962892055511475
stage4,entropy,False,auto,2,5,100,None,93.09758771929826,2.2492039412008795,4.9526283740997314
stage4,entropy,True,auto,4,10,100,None,93.09649122807018,2.395506872856118,3.0637331008911133
stage4,gini,False,auto,2,10,100,None,92.9923245614035,2.4766892305777817,5.306725263595581
stage4,entropy,True,auto,4,5,100,None,92.9923245614035,2.3836087619070274,3.037688970565796
stage4,gini,False,auto,2,5,100,None,92.99013157894737,2.5203992781224884,5.223618030548096
stage4,gini,True,auto,2,10,100,None,92.89035087719297,2.4997027754986476,3.3401098251342773
stage4,entropy,True,auto,2,10,100,None,92.88815789473685,2.32275666453082,3.163505792617798
stage4,gini,True,auto,4,5,100,None,92.88706140350878,1.9700688744399095,3.14319109916687
stage4,entropy,False,auto,2,10,100,None,92.88486842105264,2.137733032462775,5.019308090209961
stage4,gini,True,auto,4,10,100,None,92.5734649122807,2.307373198604697,3.072213649749756
stage4,entropy,False,auto,4,5,100,None,92.46929824561404,2.324374164918611,4.899883270263672
