stage,n_neighbors,weights,leaf_size,p,accuracy(%),score_standard_deviation(%),tempo(s)
stage1,160,distance,120,2,79.3523498992752,1.0084315774049262,0.5777373313903809
stage1,160,distance,60,2,79.3523498992752,1.0084315774049262,0.5754299163818359
stage1,160,distance,30,2,79.3523498992752,1.0084315774049262,0.575014591217041
stage1,160,distance,15,2,79.3523498992752,1.0084315774049262,0.6123447418212891
stage1,80,distance,120,2,79.25972461631119,1.0083112239245546,0.5503702163696289
stage1,80,distance,15,2,79.25972461631119,1.0083112239245546,0.5720667839050293
stage1,80,distance,30,2,79.25972461631119,1.0083112239245546,0.5810701847076416
stage1,80,distance,60,2,79.25972461631119,1.0083112239245546,0.5596089363098145
stage1,160,uniform,15,2,79.12895543879326,1.1490821000233442,0.5969951152801514
stage1,160,uniform,30,2,79.12895543879326,1.1490821000233442,0.5768136978149414
stage1,160,uniform,60,2,79.12895543879326,1.1490821000233442,0.5874893665313721
stage1,160,uniform,120,2,79.12895543879326,1.1490821000233442,0.5884139537811279
stage1,40,uniform,15,2,79.09223069095137,1.1510616650656507,0.5830330848693848
stage1,40,uniform,30,2,79.09223069095137,1.1510616650656507,0.5998895168304443
stage1,40,uniform,60,2,79.09223069095137,1.1510616650656507,0.5625870227813721
stage1,40,uniform,120,2,79.09223069095137,1.1510616650656507,0.5804405212402344
stage1,40,distance,15,2,79.07378178369434,1.1388130892002704,0.5720016956329346
stage1,40,distance,120,2,79.07378178369434,1.1388130892002704,0.576322078704834
stage1,40,distance,60,2,79.07378178369434,1.1388130892002704,0.5832748413085938
stage1,40,distance,30,2,79.07378178369434,1.1388130892002704,0.5608839988708496
stage1,80,uniform,30,2,79.0735741036877,1.0808059438530713,0.5875558853149414
stage1,80,uniform,15,2,79.0735741036877,1.0808059438530713,0.587183952331543
stage1,80,uniform,60,2,79.0735741036877,1.0808059438530713,0.5972816944122314
stage1,80,uniform,120,2,79.0735741036877,1.0808059438530713,0.593250036239624
stage1,20,uniform,15,2,79.03643399583255,1.289371759373574,0.587226390838623
stage1,20,uniform,30,2,79.03643399583255,1.289371759373574,0.5867125988006592
stage1,20,uniform,60,2,79.03643399583255,1.289371759373574,0.597456693649292
stage1,20,uniform,120,2,79.03643399583255,1.289371759373574,0.6240158081054688
stage1,20,distance,60,2,78.94339335285524,1.3878524421235094,0.5643446445465088
stage1,20,distance,120,2,78.94339335285524,1.3878524421235094,0.5566859245300293
stage1,20,distance,15,2,78.94339335285524,1.3878524421235094,0.6077780723571777
stage1,20,distance,30,2,78.94339335285524,1.3878524421235094,0.5678644180297852
stage1,10,distance,120,2,77.86477262500607,1.1486336648915312,0.5353066921234131
stage1,10,distance,60,2,77.86477262500607,1.1486336648915312,0.5732629299163818
stage1,10,distance,30,2,77.86477262500607,1.1486336648915312,0.5269806385040283
stage1,10,distance,15,2,77.86477262500607,1.1486336648915312,0.5396809577941895
stage1,10,uniform,120,2,77.69734792631512,1.310656266079901,0.5641770362854004
stage1,10,uniform,60,2,77.69734792631512,1.310656266079901,0.5889513492584229
stage1,10,uniform,30,2,77.69734792631512,1.310656266079901,0.5518712997436523
stage1,10,uniform,15,2,77.69734792631512,1.310656266079901,0.5906133651733398
stage1,5,uniform,120,2,76.73021674870026,1.7652208110400733,0.5453519821166992
stage1,5,uniform,15,2,76.73021674870026,1.7652208110400733,0.5995395183563232
stage1,5,uniform,30,2,76.73021674870026,1.7652208110400733,0.5567965507507324
stage1,5,uniform,60,2,76.73021674870026,1.7652208110400733,0.5614306926727295
stage1,5,distance,30,2,76.37674537738918,1.3947572026551291,0.5699377059936523
stage1,5,distance,15,2,76.37674537738918,1.3947572026551291,0.5583500862121582
stage1,5,distance,60,2,76.37674537738918,1.3947572026551291,0.557262659072876
stage1,5,distance,120,2,76.37674537738918,1.3947572026551291,0.5297894477844238
stage1,3,uniform,30,2,75.3720587319059,1.0250574774345467,0.5730373859405518
stage1,3,uniform,120,2,75.3720587319059,1.0250574774345467,0.5580422878265381
stage1,3,uniform,60,2,75.3720587319059,1.0250574774345467,0.5556254386901855
stage1,3,uniform,15,2,75.3720587319059,1.0250574774345467,0.8529930114746094
stage1,3,distance,120,2,75.01879504060143,0.8175322692229706,0.532304048538208
stage1,3,distance,60,2,75.01879504060143,0.8175322692229706,0.5845041275024414
stage1,3,distance,30,2,75.01879504060143,0.8175322692229706,0.5464503765106201
stage1,3,distance,15,2,75.01879504060143,0.8175322692229706,0.5745894908905029
