penalty,dual,C,fit_intercept,solver,accuracy(%),score_standard_deviation(%),tempo(s)
l1,False,2.0,True,liblinear,90.05372807017544,2.921545064453903,328.96832036972046
l1,False,1.5,False,liblinear,89.74122807017544,3.0141073991080605,364.72591972351074
l1,False,2.0,False,liblinear,89.63486842105264,2.703454880734432,414.17746233940125
l1,False,1.0,False,liblinear,89.32565789473685,3.0766545434651196,402.1529037952423
l1,False,1.5,True,liblinear,89.32127192982456,3.2767937264426714,387.3410017490387
l1,False,1.0,True,liblinear,89.0142543859649,3.0813489112781087,399.9064562320709
l2,False,1.0,True,newton-cg,64.85855263157896,4.054935009597073,5.011124610900879
l2,False,2.0,True,newton-cg,63.805921052631575,4.062030005722504,4.653961420059204
l2,False,2.0,False,newton-cg,63.49013157894736,5.555164904797904,4.464783668518066
l2,False,1.5,True,newton-cg,62.95942982456142,5.958447642557172,4.430761337280273
none,False,1.0,True,newton-cg,62.859649122807014,4.508066835099045,4.350224733352661
none,False,2.0,True,newton-cg,62.859649122807014,4.508066835099045,4.340155601501465
none,False,1.5,True,newton-cg,62.859649122807014,4.508066835099045,4.568848133087158
l2,False,1.0,False,newton-cg,62.34429824561403,3.346331708506329,4.112903833389282
l2,False,1.5,False,newton-cg,62.13377192982457,3.7578410124831034,4.464974641799927
none,False,2.0,False,newton-cg,61.82017543859649,3.306851030057957,4.316378593444824
none,False,1.5,False,newton-cg,61.82017543859649,3.306851030057957,4.030578851699829
none,False,1.0,False,newton-cg,61.82017543859649,3.306851030057957,4.315308094024658
l2,False,1.0,True,lbfgs,61.81578947368421,5.843337862567569,0.6747431755065918
l2,False,2.0,True,lbfgs,61.31030701754386,8.326457588771378,0.6516304016113281
l2,False,1.0,False,lbfgs,61.309210526315795,7.683277951501209,0.6643021106719971
none,False,1.0,True,lbfgs,61.29824561403508,7.161396000945891,0.716806173324585
none,False,1.5,True,lbfgs,61.29824561403508,7.161396000945891,0.6734392642974854
none,False,2.0,True,lbfgs,61.29824561403508,7.161396000945891,0.6348021030426025
none,False,1.0,False,lbfgs,60.773026315789465,7.518867097430585,0.692960262298584
none,False,2.0,False,lbfgs,60.773026315789465,7.518867097430585,0.6543095111846924
none,False,1.5,False,lbfgs,60.773026315789465,7.518867097430585,0.6875722408294678
l2,False,2.0,False,lbfgs,60.57565789473684,7.6660629611208435,0.6514394283294678
l2,False,1.5,False,lbfgs,60.47258771929825,7.033376208908844,0.6739869117736816
l2,False,1.5,True,lbfgs,60.36513157894737,6.4186447115159435,0.6450388431549072
l2,False,1.5,True,liblinear,58.67763157894736,2.669149748537345,2.4095962047576904
l2,False,2.0,False,liblinear,58.4703947368421,2.501366633618559,2.1602113246917725
l2,False,1.0,False,liblinear,58.36951754385965,3.343277274411286,1.838951587677002
l2,False,1.0,True,liblinear,58.263157894736835,3.5972540108947184,2.331838369369507
l2,False,1.5,False,liblinear,58.05482456140351,3.856324574961837,2.0378966331481934
l2,False,2.0,True,liblinear,57.95175438596492,3.4568728907978774,2.3917596340179443
l2,True,1.0,False,liblinear,57.202850877192965,7.3749766061937585,2.8262579441070557
l2,True,1.5,False,liblinear,56.603070175438596,8.346291863647696,3.0155258178710938
l2,True,1.5,True,liblinear,56.18311403508771,5.132744305560475,2.91736102104187
l2,True,2.0,False,liblinear,55.03289473684211,7.577028900503438,2.945573329925537
l2,True,2.0,True,liblinear,54.92763157894737,4.957748923868639,3.179431200027466
l2,False,1.5,True,sag,53.45175438596491,3.3739261369680604,2.272172451019287
none,False,1.5,False,sag,53.45065789473684,3.153349593681662,2.2481250762939453
l2,False,1.0,True,sag,53.34758771929824,3.2639692931623427,2.271299362182617
l2,False,2.0,False,sag,53.34649122807018,3.4140546396908618,2.270728588104248
none,False,2.0,True,sag,53.34649122807017,3.213429506554957,2.2583611011505127
l2,False,2.0,True,sag,53.24122807017544,3.2521316138582974,2.215632438659668
none,False,2.0,False,sag,53.24122807017544,3.2521316138582974,2.2084052562713623
none,False,1.0,False,sag,53.13706140350878,3.3365038952353854,2.2344889640808105
none,False,1.5,True,sag,53.13706140350878,3.3365038952353854,2.2197747230529785
l2,False,1.5,False,sag,53.13706140350878,3.1005098001294353,2.2599072456359863
l2,False,1.0,False,sag,53.13706140350878,3.3365038952353854,2.224412441253662
none,False,1.0,True,sag,53.13706140350878,3.3365038952353854,2.23275089263916
l2,True,1.0,True,liblinear,52.41557017543859,5.0414445257182114,3.00988507270813
l1,False,1.5,True,saga,49.89473684210527,0.5627938171112399,4.665738582611084
l1,False,1.5,False,saga,49.89473684210527,0.5627938171112399,4.6778764724731445
none,False,2.0,False,saga,49.89473684210527,0.5627938171112399,2.765962839126587
l2,False,1.5,False,saga,49.89473684210527,0.5627938171112399,2.5890259742736816
l2,False,2.0,False,saga,49.89473684210527,0.5627938171112399,2.5901525020599365
l1,False,1.0,True,saga,49.790570175438596,0.7806902041822504,5.156625509262085
l2,False,1.5,True,saga,49.790570175438596,0.7806902041822504,2.651846170425415
none,False,1.5,True,saga,49.790570175438596,0.7806902041822504,2.610704183578491
l2,False,1.0,False,saga,49.790570175438596,0.7806902041822504,2.6795079708099365
l2,False,1.0,True,saga,49.790570175438596,0.7806902041822504,2.5979843139648438
none,False,1.5,False,saga,49.790570175438596,0.7806902041822504,2.649249315261841
none,False,1.0,False,saga,49.790570175438596,0.7806902041822504,2.614373207092285
l1,False,2.0,False,saga,49.790570175438596,0.7806902041822504,4.683006048202515
l1,False,2.0,True,saga,49.790570175438596,0.7806902041822504,4.711715936660767
none,False,2.0,True,saga,49.790570175438596,0.7806902041822504,2.6376729011535645
l2,False,2.0,True,saga,49.790570175438596,0.7806902041822504,2.655900001525879
l1,False,1.0,False,saga,49.790570175438596,0.7806902041822504,4.6662917137146
none,False,1.0,True,saga,49.790570175438596,0.7806902041822504,2.748680591583252
