stage,alpha,solver,accuracy(%),score_standard_deviation(%),tempo(s)
stage4,0.1,auto,94.78101165415828,0.2714308466351476,6.159571647644043
stage4,0.1,svd,94.78101165415828,0.2714308466351476,5.663665294647217
stage4,0.2,auto,94.77278120148338,0.2715288880360338,6.148394584655762
stage4,0.2,svd,94.77278120148338,0.2715288880360338,5.437425851821899
stage4,0.3,auto,94.77278120148338,0.2715288880360338,6.120758533477783
stage4,0.3,svd,94.77278120148338,0.2715288880360338,5.977601528167725
stage4,0.5,svd,94.76455074880847,0.27632463320880196,4.862668514251709
stage4,0.6,svd,94.76455074880847,0.30654166803021465,4.832255125045776
stage4,0.6,auto,94.76455074880847,0.30654166803021465,4.837416887283325
stage4,0.5,auto,94.76455074880847,0.27632463320880196,5.900679111480713
stage4,0.4,svd,94.75632029613358,0.2684644352088994,5.431536436080933
stage4,0.4,auto,94.75632029613358,0.2684644352088994,5.205102443695068
stage4,0.7,auto,94.75632029613358,0.3017291025364883,5.17793869972229
stage4,0.7,svd,94.75632029613358,0.3017291025364883,4.721495628356934
stage4,1.0,auto,94.75632029613358,0.32130003818789915,4.620862007141113
stage4,1.0,svd,94.75632029613358,0.32130003818789915,4.802664756774902
stage4,0.8,auto,94.74808984345869,0.320749910311999,4.828227519989014
stage4,0.8,svd,94.74808984345869,0.320749910311999,4.920873641967773
stage4,0.9,auto,94.74808984345869,0.320749910311999,5.39840292930603
stage4,0.9,svd,94.74808984345869,0.320749910311999,4.878443479537964
