stage,criterion,min_samples_split,min_samples_leaf,accuracy(%),score_standard_deviation(%),tempo(s)
stage4,gini,40,20,90.37609649122807,2.2865828042447753,2.355729103088379
stage4,gini,18,20,90.37609649122807,2.2865828042447753,2.37107515335083
stage4,gini,22,20,90.37609649122807,2.2865828042447753,2.3519465923309326
stage4,gini,26,18,90.16776315789474,2.692858562282351,2.53106689453125
stage4,gini,26,20,90.16776315789474,2.155764497757282,2.3683547973632812
stage4,gini,18,18,90.16776315789474,2.692858562282351,2.568845748901367
stage4,gini,32,20,90.16776315789474,2.155764497757282,2.3512585163116455
stage4,gini,36,18,90.16776315789474,2.692858562282351,2.528552293777466
stage4,gini,36,20,90.16776315789474,2.155764497757282,2.388559579849243
stage4,gini,22,18,90.06359649122807,2.7332946602786277,2.514089345932007
stage4,gini,32,18,90.06359649122807,2.7332946602786277,2.508129835128784
stage4,gini,40,18,89.85526315789475,2.4272402971567493,2.532399892807007
stage4,gini,36,16,89.85526315789475,2.722240379239829,2.5465378761291504
stage4,gini,26,16,89.8530701754386,2.885481615800846,2.53780460357666
stage4,gini,40,16,89.75109649122807,2.5878263897703575,2.5084056854248047
stage4,gini,22,16,89.74890350877193,2.9120191586875337,2.5700526237487793
stage4,gini,18,16,89.64473684210526,2.74352622963013,2.5405020713806152
stage4,gini,32,16,89.64473684210526,2.74352622963013,2.506525754928589
