penalty,dual,C,fit_intercept,solver,accuracy(%),score_standard_deviation(%),tempo(s)
l1,False,1.0,False,liblinear,83.94566706152364,1.0456010930998667,630.7044341564178
l1,False,1.0,True,liblinear,83.93606093136891,1.1161071393936648,597.1569755077362
l1,False,2.0,False,liblinear,83.907261049826,1.0608211904350318,693.7211418151855
l1,False,1.5,False,liblinear,83.830310209521,1.0489122118179222,543.7376356124878
l1,False,2.0,True,liblinear,83.83026393721774,1.0047388045482175,713.866007566452
l1,False,1.5,True,liblinear,83.82059302583846,1.0375928379770896,669.9417929649353
l2,False,2.0,True,newton-cg,79.54015510476049,1.904469090901155,20.091148138046265
l2,False,1.5,True,newton-cg,79.25149922262531,1.8128025166975266,19.999935150146484
l2,False,1.0,True,newton-cg,79.22278263122826,2.0817588909226337,20.453932762145996
l2,False,2.0,False,newton-cg,79.14570222847412,2.0367202132916638,19.11647605895996
none,False,2.0,True,newton-cg,79.12650847708595,1.8453784046456503,20.246680974960327
none,False,1.5,True,newton-cg,79.12650847708595,1.8453784046456503,20.94128108024597
none,False,1.0,True,newton-cg,79.12650847708595,1.8453784046456503,20.677919387817383
l2,False,1.0,False,newton-cg,79.11681905678537,1.9293595512594746,19.46063804626465
l2,False,1.5,False,newton-cg,79.03018805064042,1.848494385226271,19.893729209899902
none,False,1.0,False,newton-cg,78.9726808321611,1.8320572197505092,19.467334747314453
none,False,2.0,False,newton-cg,78.9726808321611,1.8320572197505092,19.95393395423889
none,False,1.5,False,newton-cg,78.9726808321611,1.8320572197505092,19.65336537361145
l2,True,2.0,True,liblinear,56.33021766491449,3.5876531048242852,11.644246101379395
l2,True,2.0,False,liblinear,55.55997815947287,5.8352910143261205,11.880754470825195
l2,True,1.0,True,liblinear,55.54017361368179,3.4768406650110566,11.64344072341919
l2,True,1.0,False,liblinear,55.50169356629896,3.1321016383692153,11.71244740486145
l2,True,1.5,False,liblinear,54.58827830014066,5.670826825039491,11.72262692451477
l2,True,1.5,True,liblinear,53.52020248759902,5.737178412292515,11.77009630203247
l2,False,2.0,False,lbfgs,50.03845228400089,0.17834580478434425,3.031949043273926
l2,False,2.0,True,lbfgs,50.019230769230774,0.12389275078274842,3.0149567127227783
l2,False,1.5,False,lbfgs,50.019221514770116,0.18144822909218195,2.968492269515991
none,False,2.0,True,lbfgs,50.00960613015474,0.1092513424850653,2.9944987297058105
none,False,1.0,True,lbfgs,50.00960613015474,0.1092513424850653,2.892868757247925
none,False,1.5,True,lbfgs,50.00960613015474,0.1092513424850653,2.772362470626831
none,False,1.5,True,sag,50.0,0.030435781137329646,8.171497344970703
l2,False,2.0,False,sag,50.0,0.030435781137329646,6.609121322631836
none,False,2.0,False,sag,50.0,0.030435781137329646,8.116674661636353
l2,False,2.0,False,saga,50.0,0.030435781137329646,9.745528221130371
none,False,2.0,True,saga,50.0,0.030435781137329646,9.529902458190918
none,False,2.0,True,sag,50.0,0.030435781137329646,8.071959018707275
none,False,1.0,True,sag,50.0,0.030435781137329646,8.037751913070679
none,False,1.0,True,saga,50.0,0.030435781137329646,9.813322305679321
none,False,1.0,False,sag,50.0,0.030435781137329646,8.063194751739502
none,False,1.5,False,saga,50.0,0.030435781137329646,9.594520807266235
none,False,1.0,False,saga,50.0,0.030435781137329646,9.801872968673706
none,False,1.5,True,saga,50.0,0.030435781137329646,9.7282395362854
none,False,1.5,False,sag,50.0,0.030435781137329646,8.086288690567017
l2,False,1.5,False,sag,50.0,0.030435781137329646,8.146510124206543
none,False,2.0,False,saga,50.0,0.030435781137329646,9.841632843017578
l1,False,1.5,False,saga,50.0,0.030435781137329646,17.784711837768555
l1,False,2.0,False,saga,50.0,0.030435781137329646,17.487677574157715
l2,False,1.0,True,sag,50.0,0.030435781137329646,8.27571988105774
l2,False,1.0,True,saga,50.0,0.030435781137329646,9.608538150787354
l1,False,1.5,True,saga,50.0,0.030435781137329646,17.63233780860901
l2,False,2.0,True,saga,50.0,0.030435781137329646,9.650725364685059
l2,False,1.0,False,sag,50.0,0.030435781137329646,7.934995889663696
l2,False,1.0,False,saga,50.0,0.030435781137329646,9.584565162658691
l1,False,2.0,True,saga,50.0,0.030435781137329646,17.442350149154663
l2,False,1.5,True,sag,50.0,0.030435781137329646,8.053773403167725
l2,False,1.5,True,saga,50.0,0.030435781137329646,9.753664493560791
l1,False,1.0,False,saga,50.0,0.030435781137329646,17.663877248764038
l1,False,1.0,True,saga,50.0,0.030435781137329646,17.49726939201355
l2,False,1.5,False,saga,50.0,0.030435781137329646,9.698300123214722
l2,False,2.0,True,sag,50.0,0.030435781137329646,8.125296592712402
none,False,1.0,False,lbfgs,49.99999074553935,0.06082766908938374,2.9242663383483887
none,False,1.5,False,lbfgs,49.99999074553935,0.06082766908938374,2.9474730491638184
none,False,2.0,False,lbfgs,49.99999074553935,0.06082766908938374,2.964308023452759
l2,False,1.5,True,lbfgs,49.99998149107871,0.13935932624714167,2.97016978263855
l2,False,1.0,True,lbfgs,49.99036610646331,0.12866445356394296,2.9137320518493652
l2,False,2.0,True,liblinear,49.98075997630858,0.071989585689355,4.814890146255493
l2,False,1.0,True,liblinear,49.98075997630858,0.071989585689355,4.790715456008911
l2,False,2.0,False,liblinear,49.9711445916932,0.07513055692484093,5.660996913909912
l2,False,1.0,False,liblinear,49.9711445916932,0.07513055692484093,5.655028581619263
l2,False,1.5,True,liblinear,49.9711445916932,0.08656623481399807,4.6715216636657715
l2,False,1.5,False,liblinear,49.9711445916932,0.08656623481399807,5.018450021743774
l2,False,1.0,False,lbfgs,49.971144591693196,0.13633923707460444,2.9397149085998535
