stage,criterion,bootstrap,max_features,min_samples_leaf,min_samples_split,n_estimators,max_depth,accuracy(%),score_standard_deviation(%),tempo(s)
stage5,entropy,False,auto,4,5,100,None,85.4848134300733,0.825328670647605,32.30441212654114
stage5,gini,False,auto,2,5,100,None,85.48467461316355,1.281995300857866,29.701569318771362
stage5,gini,False,auto,2,10,100,None,85.46548086177538,0.970149584702314,29.76730513572693
stage5,entropy,False,auto,4,10,100,None,85.45589324054194,0.9190636842294616,32.442646980285645
stage5,gini,False,auto,4,5,100,None,85.41750573776561,0.9775794904338805,27.2651047706604
stage5,entropy,False,auto,2,5,100,None,85.407816317465,0.9301562236156852,33.74668478965759
stage5,gini,False,auto,4,10,100,None,85.37896090915821,0.8883748837302989,27.57338547706604
stage5,entropy,True,auto,2,10,100,None,85.35007773746948,0.9549189620699313,19.649082899093628
stage5,entropy,False,auto,2,10,100,None,85.34041608055082,0.893759070973599,33.43990135192871
stage5,entropy,True,auto,2,5,100,None,85.31156067224404,1.023938873893361,19.775452613830566
stage5,gini,True,auto,2,5,100,None,85.27308987932184,0.7065272819367631,17.82976198196411
stage5,gini,True,auto,4,10,100,None,85.1673761753165,1.0183689212271743,16.391016244888306
stage5,gini,True,auto,2,10,100,None,85.15772377285853,0.9592097561292556,17.766169786453247
stage5,entropy,True,auto,4,5,100,None,85.12885911009107,1.1130049653004905,18.99079179763794
stage5,gini,True,auto,4,5,100,None,85.08085622269934,1.146484281224648,16.395187616348267
stage5,entropy,True,auto,4,10,100,None,84.85953579625381,0.8996964501799497,18.971057176589966
