stage,criterion,bootstrap,max_features,min_samples_leaf,min_samples_split,n_estimators,max_depth,accuracy(%),score_standard_deviation(%),tempo(s)
stage1,gini,False,auto,2,10,100,None,82.75684824821916,1.0595816644823175,12.683533906936646
stage1,entropy,False,auto,4,5,100,None,82.45889666535136,1.0553854971525312,14.974590301513672
stage1,entropy,False,auto,2,10,100,None,82.42189501083396,1.4953669938872045,15.62024450302124
stage1,entropy,False,auto,2,5,100,None,82.34754556845478,1.2834632718652328,15.947296619415283
stage1,entropy,False,auto,4,10,100,None,82.25460876548081,1.3426829134800167,15.084749937057495
stage1,gini,False,auto,4,10,100,None,82.23602140488602,1.2299097713782507,11.50575041770935
stage1,gini,False,auto,4,5,100,None,82.10549452070917,1.2077626679665359,11.652913570404053
stage1,entropy,True,auto,2,5,100,None,82.06863131952954,1.0923982256309734,9.321367740631104
stage1,gini,False,auto,2,5,100,None,82.06838902618844,1.4377623200508254,12.794500589370728
stage1,gini,True,auto,4,5,100,None,82.03142198500551,1.2919709900160503,7.176384449005127
stage1,gini,True,auto,4,10,100,None,82.01255771773518,1.371405346893185,7.150687217712402
stage1,entropy,True,auto,2,10,100,None,81.90134507417636,1.6078865186386344,9.320867776870728
stage1,gini,True,auto,2,5,100,None,81.90082587415975,1.270317373693812,7.822883129119873
stage1,entropy,True,auto,4,10,100,None,81.826822565125,1.261825508031858,8.892987728118896
stage1,gini,True,auto,2,10,100,None,81.80830443119908,1.1446322440666692,7.8878703117370605
stage1,entropy,True,auto,4,5,100,None,81.7337126954788,1.6411368218459774,8.83710789680481
