stage,criterion,min_samples_split,min_samples_leaf,accuracy(%),score_standard_deviation(%),tempo(s)
stage2,gini,22,20,88.15833974113139,0.49082629677958867,57.47555708885193
stage2,gini,32,20,88.15326874786807,0.5068879849239715,57.404911041259766
stage2,gini,26,20,88.15073132407912,0.5048020325963478,57.38551449775696
stage2,gini,18,20,88.14819518506172,0.5175210443882616,57.56109619140625
stage2,gini,40,20,88.13552155621807,0.5028338380500268,59.179221868515015
stage2,gini,36,20,88.08736446463247,0.5077292011101712,57.375900745391846
stage2,gini,40,18,88.00119869184562,0.41812320571922285,58.38416123390198
stage2,gini,26,18,87.95304224264582,0.40145257907688486,58.10708427429199
stage2,gini,22,18,87.94543639513662,0.43826339254754537,58.39129328727722
stage2,gini,18,18,87.93783440194206,0.3571522354800419,58.31133055686951
stage2,gini,40,16,87.9226394089537,0.4393400722475289,59.2114942073822
stage2,gini,32,18,87.91248971379787,0.4380699641858104,58.006946086883545
stage2,gini,36,16,87.87702359547168,0.49937990262323617,59.720744371414185
stage2,gini,36,18,87.87700560867016,0.4098177325466869,58.16168570518494
stage2,gini,32,16,87.83140071574623,0.5760109977868072,59.4042022228241
stage2,gini,18,16,87.81618902072786,0.5528419313868647,59.96630930900574
stage2,gini,26,16,87.81618709357056,0.5603725404729236,59.492241859436035
stage2,gini,22,16,87.78070234605707,0.5226988464525923,59.818339109420776
