stage,alpha,solver,accuracy(%),score_standard_deviation(%),tempo(s)
stage3,0.1,auto,88.58924925570312,0.9598662945652073,3.042328119277954
stage3,0.1,svd,88.58924925570312,0.9598662945652073,2.585268020629883
stage3,0.2,auto,88.55369367205427,0.944595464306546,2.826535701751709
stage3,0.2,svd,88.55369367205427,0.944595464306546,2.8181121349334717
stage3,0.3,auto,88.55366206709101,0.931541785908036,2.983952760696411
stage3,0.3,svd,88.55366206709101,0.931541785908036,2.6266658306121826
stage3,0.4,auto,88.53586847278495,0.9148107880697552,2.091254711151123
stage3,0.4,svd,88.53586847278495,0.9148107880697552,2.715527057647705
stage3,0.7,auto,88.51810648344215,0.9040933396497345,3.613814115524292
stage3,0.8,svd,88.51810648344215,0.9040933396497345,3.5393738746643066
stage3,0.8,auto,88.51810648344215,0.9040933396497345,3.56803822517395
stage3,0.7,svd,88.51810648344215,0.9040933396497345,3.857649087905884
stage3,0.6,auto,88.51810648344215,0.900584547298279,3.1122169494628906
stage3,0.6,svd,88.51810648344215,0.900584547298279,3.8000524044036865
stage3,0.5,svd,88.51810648344215,0.900584547298279,2.958465099334717
stage3,0.5,auto,88.51810648344215,0.900584547298279,2.533064126968384
stage3,0.9,auto,88.48255089979331,0.9371134718628323,4.4928505420684814
stage3,0.9,svd,88.48255089979331,0.9371134718628323,3.4805314540863037
stage3,1.0,auto,88.46475730548725,0.9156936582220758,2.785306453704834
stage3,1.0,svd,88.46475730548725,0.9156936582220758,3.1210286617279053
