stage,criterion,min_samples_split,min_samples_leaf,accuracy(%),score_standard_deviation(%),tempo(s)
stage5,gini,40,16,83.39738654031243,1.0703433765262937,12.504891633987427
stage5,gini,36,20,83.37816502554232,1.1483256397246653,11.965737581253052
stage5,gini,40,18,83.29168209076775,1.0449612674392876,12.16811752319336
stage5,gini,26,20,83.29165432738579,1.182422501318347,11.969655990600586
stage5,gini,40,20,83.28205745169171,1.151840253345805,11.987382173538208
stage5,gini,22,20,83.26269712001185,1.1352703131591213,11.877763271331787
stage5,gini,32,20,83.18573702524617,1.2381211663017675,11.892342567443848
stage5,gini,18,20,83.17615865847341,1.1992455406576972,11.892504692077637
stage5,gini,26,16,83.0800325757015,0.9552783448111927,12.570562601089478
stage5,gini,22,16,83.05111238617015,0.917241994355721,12.50371766090393
stage5,gini,26,18,83.00322980676687,1.085692822253854,12.187968254089355
stage5,gini,18,16,82.97422632708965,1.026694298245981,12.501213312149048
stage5,gini,32,16,82.97417080032575,1.066435934560841,12.64284086227417
stage5,gini,36,16,82.95494003109498,1.1028107880207294,12.581660985946655
stage5,gini,22,18,82.91659880062191,1.1193466439347506,12.115752220153809
stage5,gini,18,18,82.86858665876953,1.1973978123207365,12.163386821746826
stage5,gini,32,18,82.8685403864663,1.1264239914027807,12.16515851020813
stage5,gini,36,18,82.86852187754496,1.086536329353786,12.253146886825562
