stage,type,fit_prior,accuracy(%),score_standard_deviation(%),tempo(s)
stage3,ComplementNB,False,80.0418410041841,1.7854885601131263,0.2648611068725586
stage3,ComplementNB,True,80.0418410041841,1.7854885601131263,0.2117595672607422
