penalty,dual,C,fit_intercept,solver,accuracy(%),score_standard_deviation(%),tempo(s)
l2,False,1.0,True,liblinear,68.1227402186093,2.7561227095625966,36.28223657608032
l2,False,2.0,True,liblinear,68.11453811887176,2.7539744703732545,35.46017384529114
l2,True,1.5,True,liblinear,60.72804054272206,4.826254818499952,69.00127220153809
l2,True,1.0,True,liblinear,60.64945616729022,5.173819423682637,67.8897168636322
l2,True,1.5,False,liblinear,60.49673487283664,6.574912476515733,67.37760996818542
l2,True,1.0,False,liblinear,59.916026749526566,5.535329672106337,67.41209483146667
l2,True,2.0,False,liblinear,59.59792222800508,5.819706905056446,63.44411253929138
l2,True,2.0,True,liblinear,59.20739089229805,3.646264697868615,64.49390649795532
none,False,2.0,False,sag,50.0,0.00366748889207801,49.325042724609375
none,False,1.0,False,sag,50.0,0.00366748889207801,47.18729209899902
none,False,1.0,False,saga,50.0,0.00366748889207801,57.06297564506531
none,False,2.0,True,sag,50.0,0.00366748889207801,48.284119606018066
none,False,2.0,True,saga,50.0,0.00366748889207801,57.38316106796265
none,False,1.5,False,saga,50.0,0.00366748889207801,56.674301624298096
none,False,1.5,True,sag,50.0,0.00366748889207801,47.86913704872131
none,False,1.5,False,sag,50.0,0.00366748889207801,48.922436475753784
none,False,1.5,True,saga,50.0,0.00366748889207801,56.73087215423584
l2,False,1.5,False,sag,50.0,0.00366748889207801,49.52106595039368
none,False,1.0,True,saga,50.0,0.00366748889207801,56.86643433570862
none,False,1.0,True,sag,50.0,0.00366748889207801,49.94932746887207
l1,False,1.0,False,saga,50.0,0.00366748889207801,109.37138104438782
l1,False,1.5,True,saga,50.0,0.00366748889207801,108.28806638717651
l1,False,1.5,False,saga,50.0,0.00366748889207801,116.63978433609009
l1,False,2.0,True,saga,50.0,0.00366748889207801,111.27691078186035
l1,False,2.0,False,saga,50.0,0.00366748889207801,112.74683785438538
l2,False,1.0,True,sag,50.0,0.00366748889207801,43.51065230369568
l2,False,1.0,True,saga,50.0,0.00366748889207801,60.98786497116089
l2,False,1.0,False,sag,50.0,0.00366748889207801,50.146517276763916
