stage,alpha,solver,accuracy(%),score_standard_deviation(%),tempo(s)
stage1,0.7,svd,85.65363870616667,2.5123852206612423,1.9743146896362305
stage1,0.7,auto,85.65363870616667,2.5123852206612423,1.9986615180969238
stage1,1.0,svd,85.62531009426864,2.4338821700850226,2.05073618888855
stage1,1.0,auto,85.62531009426864,2.4338821700850226,2.2262518405914307
stage1,0.9,svd,85.62531009426864,2.5213365411969026,2.044344186782837
stage1,0.9,auto,85.62531009426864,2.5213365411969026,2.4644172191619873
stage1,0.8,svd,85.62531009426864,2.5213365411969026,2.504155158996582
stage1,0.8,auto,85.62531009426864,2.5213365411969026,2.0220742225646973
stage1,0.6,svd,85.56889294345481,2.463283056613494,2.017857074737549
stage1,0.6,auto,85.56889294345481,2.463283056613494,2.1005847454071045
stage1,0.5,svd,85.54072438021159,2.434384212820811,2.0790090560913086
stage1,0.5,auto,85.54072438021159,2.434384212820811,2.159830093383789
stage1,0.4,svd,85.51247579264097,2.4188104920762994,1.9853789806365967
stage1,0.4,auto,85.51247579264097,2.4188104920762994,2.064091682434082
stage1,0.1,svd,85.4278100542565,2.6524817505744083,1.9635770320892334
stage1,0.1,auto,85.4278100542565,2.6524817505744083,2.244790554046631
stage1,0.3,svd,85.39932139370367,2.4719180552877225,2.0092105865478516
stage1,0.3,auto,85.39932139370367,2.4719180552877225,1.8823649883270264
stage1,0.2,svd,85.34282421856243,2.5744719248296426,1.9431965351104736
stage1,0.2,auto,85.34282421856243,2.5744719248296426,2.1698949337005615
