stage,criterion,bootstrap,max_features,min_samples_leaf,min_samples_split,n_estimators,max_depth,accuracy(%),score_standard_deviation(%),tempo(s)
stage2,entropy,False,auto,2,5,100,None,90.03650035941484,0.33395012358936416,133.93880653381348
stage2,entropy,False,auto,4,5,100,None,90.03396229324011,0.36624085534426815,130.2858555316925
stage2,entropy,False,auto,2,10,100,None,90.00101496951558,0.3764697652796298,132.75814938545227
stage2,gini,False,auto,2,10,100,None,89.95285787792999,0.21653280469306216,117.79067468643188
stage2,gini,False,auto,4,5,100,None,89.90723821013337,0.3421246627676234,111.7285795211792
stage2,entropy,False,auto,4,10,100,None,89.89456393890399,0.4170043302030422,131.42526865005493
stage2,gini,False,auto,2,5,100,None,89.87681482009666,0.37436333133856275,117.03434109687805
stage2,entropy,True,auto,2,10,100,None,89.85399984711219,0.47008981955522083,81.11302709579468
stage2,entropy,True,auto,2,5,100,None,89.81091053686106,0.24528794174021465,80.9648220539093
stage2,entropy,True,auto,4,5,100,None,89.8058536760847,0.36748625524022455,78.60118961334229
stage2,gini,False,auto,4,10,100,None,89.79569627229962,0.4177698575453979,110.6071412563324
stage2,gini,True,auto,4,10,100,None,89.755154021624,0.3849664610220788,68.04518270492554
stage2,gini,True,auto,2,5,100,None,89.7323563930553,0.49520246651211797,72.26771664619446
stage2,entropy,True,auto,4,10,100,None,89.73233840625376,0.3348599762113056,78.41412234306335
stage2,gini,True,auto,2,10,100,None,89.69178523502006,0.34681139960930174,71.66801977157593
stage2,gini,True,auto,4,5,100,None,89.68671359937098,0.40316546355395205,68.64268326759338
