stage,criterion,min_samples_split,min_samples_leaf,accuracy(%),score_standard_deviation(%),tempo(s)
stage3,gini,36,20,89.91631799163177,1.348682967471647,4.9781951904296875
stage3,gini,26,20,89.91631799163177,1.305814772747048,4.9316558837890625
stage3,gini,40,20,89.89539748953973,1.342991953615399,4.947928428649902
stage3,gini,18,20,89.89539748953973,1.3133344029890792,4.956427574157715
stage3,gini,32,20,89.87447698744768,1.3628868179834586,4.974137306213379
stage3,gini,40,18,89.85355648535564,1.2802595214053758,4.926676988601685
stage3,gini,22,20,89.83263598326359,1.3851837119035018,4.954291820526123
stage3,gini,36,18,89.81171548117153,1.4675698667192973,4.994939804077148
stage3,gini,26,18,89.79079497907951,1.3870781970084327,4.967399835586548
stage3,gini,40,16,89.79079497907948,0.9848202758108637,5.194633483886719
stage3,gini,36,16,89.76987447698744,1.1664938794519375,5.122094631195068
stage3,gini,18,18,89.7489539748954,1.4494149017312787,4.97995138168335
stage3,gini,32,18,89.72803347280333,1.4597953995330137,4.9604480266571045
stage3,gini,22,18,89.70711297071128,1.3091621629424277,4.955546855926514
stage3,gini,18,16,89.66527196652719,1.206153582041806,5.184109210968018
stage3,gini,32,16,89.66527196652719,1.2559272819919358,5.173343658447266
stage3,gini,26,16,89.64435146443513,1.2063349994425518,5.152002334594727
stage3,gini,22,16,89.58158995815899,1.1752779836977525,5.1741955280303955
