penalty,dual,C,fit_intercept,solver,accuracy(%),score_standard_deviation(%),tempo(s)
l1,False,1.0,False,liblinear,80.0588080552152,1.6557462684605273,227.41323041915894
l1,False,1.0,True,liblinear,80.05870421521188,1.7043906612808635,228.87604403495789
l1,False,1.5,True,liblinear,80.04018608128597,1.6998754118798673,202.24686193466187
l1,False,2.0,False,liblinear,80.02170256069448,1.506601302611255,237.5177674293518
l1,False,1.5,False,liblinear,79.98442399950157,1.7278926407895616,203.09140992164612
l1,False,2.0,True,liblinear,79.98435477283269,1.679836067508425,228.14883542060852
l2,True,1.0,False,liblinear,56.471205167078566,4.922911208230879,6.420660734176636
l2,True,2.0,True,liblinear,55.89572386866316,3.978468975702364,6.258639335632324
l2,True,1.5,False,liblinear,55.50594310952353,1.999538836632678,6.153733968734741
l2,True,1.0,True,liblinear,55.32003489024111,4.262412579760763,5.926471471786499
l2,True,1.5,True,liblinear,54.85403556866248,3.0815352315020696,6.201939821243286
l2,False,1.5,False,newton-cg,54.13207063889293,6.625864793588848,10.174943208694458
l2,True,2.0,False,liblinear,53.81283185534396,3.0678479570754726,6.140727996826172
l2,False,1.0,False,newton-cg,52.84767363779221,6.313557160591,9.548680305480957
none,False,1.0,True,newton-cg,52.156133828996275,6.59351183002866,10.90542197227478
none,False,2.0,True,newton-cg,52.156133828996275,6.59351183002866,10.625897884368896
none,False,1.5,True,newton-cg,52.156133828996275,6.59351183002866,10.144054651260376
l2,False,1.0,True,newton-cg,51.078066914498145,3.3604610049313774,10.796742677688599
l2,False,2.0,False,liblinear,49.999999999999986,0.058887852144662495,2.797309160232544
l2,False,2.0,False,lbfgs,49.999999999999986,0.058887852144662495,1.8091883659362793
l2,False,2.0,False,saga,49.999999999999986,0.058887852144662495,5.214136362075806
none,False,1.0,False,saga,49.999999999999986,0.058887852144662495,5.219033718109131
none,False,1.0,True,lbfgs,49.999999999999986,0.058887852144662495,1.7881770133972168
none,False,1.0,True,sag,49.999999999999986,0.058887852144662495,4.403020143508911
none,False,1.0,True,saga,49.999999999999986,0.058887852144662495,5.2784528732299805
l2,False,2.0,False,sag,49.999999999999986,0.058887852144662495,4.293864965438843
none,False,1.0,False,lbfgs,49.999999999999986,0.058887852144662495,1.8715693950653076
none,False,1.0,False,sag,49.999999999999986,0.058887852144662495,4.37024188041687
none,False,1.5,False,saga,49.999999999999986,0.058887852144662495,5.278002500534058
none,False,1.5,True,lbfgs,49.999999999999986,0.058887852144662495,1.673900842666626
none,False,1.5,True,sag,49.999999999999986,0.058887852144662495,4.418673038482666
none,False,1.5,True,saga,49.999999999999986,0.058887852144662495,5.248708486557007
none,False,1.5,False,lbfgs,49.999999999999986,0.058887852144662495,1.9117577075958252
none,False,1.5,False,sag,49.999999999999986,0.058887852144662495,4.533430814743042
l2,False,2.0,True,sag,49.999999999999986,0.058887852144662495,4.326782703399658
none,False,2.0,True,lbfgs,49.999999999999986,0.058887852144662495,1.7266650199890137
none,False,2.0,True,sag,49.999999999999986,0.058887852144662495,4.457993507385254
none,False,2.0,True,saga,49.999999999999986,0.058887852144662495,5.226850986480713
none,False,2.0,False,lbfgs,49.999999999999986,0.058887852144662495,1.7524397373199463
none,False,2.0,False,sag,49.999999999999986,0.058887852144662495,4.312834739685059
l2,False,2.0,True,saga,49.999999999999986,0.058887852144662495,5.142066478729248
l2,False,1.5,False,sag,49.999999999999986,0.058887852144662495,4.300686359405518
l2,False,2.0,True,lbfgs,49.999999999999986,0.058887852144662495,1.770484447479248
l2,False,1.5,True,liblinear,49.999999999999986,0.058887852144662495,2.9954330921173096
l1,False,1.0,False,saga,49.999999999999986,0.058887852144662495,9.603318929672241
l1,False,1.5,True,saga,49.999999999999986,0.058887852144662495,9.314111471176147
l1,False,1.5,False,saga,49.999999999999986,0.058887852144662495,9.225681066513062
l1,False,2.0,True,saga,49.999999999999986,0.058887852144662495,9.235013008117676
l1,False,2.0,False,saga,49.999999999999986,0.058887852144662495,9.608049392700195
l2,False,1.0,True,lbfgs,49.999999999999986,0.058887852144662495,1.889843225479126
l2,False,1.0,True,sag,49.999999999999986,0.058887852144662495,4.592118978500366
l2,False,1.0,True,saga,49.999999999999986,0.058887852144662495,4.919795513153076
l2,False,1.0,False,saga,49.999999999999986,0.058887852144662495,4.929235458374023
l2,False,1.0,False,sag,49.999999999999986,0.058887852144662495,4.094811677932739
none,False,2.0,False,saga,49.999999999999986,0.058887852144662495,5.301814079284668
l2,False,1.5,True,saga,49.999999999999986,0.058887852144662495,5.381134986877441
l2,False,1.5,False,saga,49.999999999999986,0.058887852144662495,5.154184818267822
l1,False,1.0,True,saga,49.999999999999986,0.058887852144662495,9.60749340057373
l2,False,1.5,False,lbfgs,49.999999999999986,0.058887852144662495,1.7864408493041992
