stage,alpha,solver,accuracy(%),score_standard_deviation(%),tempo(s)
stage2,0.1,auto,90.08860100931273,0.45003377139934975,11.130432367324829
stage2,0.1,svd,90.08860100931273,0.45003377139934975,11.028492450714111
stage2,0.3,auto,90.08412073333251,0.44522265385379106,10.361353397369385
stage2,0.3,svd,90.08412073333251,0.44522265385379106,10.651961326599121
stage2,0.2,auto,90.07964846141839,0.4351034885254996,11.220664978027344
stage2,0.2,svd,90.07964846141839,0.4351034885254996,9.885292768478394
stage2,0.4,auto,90.0706999155571,0.4375538056547507,12.1930570602417
stage2,0.4,svd,90.0706999155571,0.4375538056547507,9.627583980560303
stage2,0.6,svd,90.07069791454059,0.4421383748466126,8.8564133644104
stage2,0.6,auto,90.07069791454059,0.4421383748466126,8.031394720077515
stage2,0.5,svd,90.07069791454059,0.44305189786669585,8.913540601730347
stage2,0.5,auto,90.07069791454059,0.44305189786669585,11.033084869384766
stage2,0.8,auto,90.07069591352406,0.42037878620648256,9.503356695175171
stage2,0.8,svd,90.07069591352406,0.42037878620648256,8.960793495178223
stage2,0.9,auto,90.06622364160994,0.4369113066418481,9.875436544418335
stage2,0.9,svd,90.06622364160994,0.4369113066418481,9.047658920288086
stage2,0.7,auto,90.06175136969581,0.440717859569025,9.05250334739685
stage2,0.7,svd,90.06175136969581,0.440717859569025,9.250891208648682
stage2,1.0,auto,90.05727909778167,0.43853869269891094,9.5405855178833
stage2,1.0,svd,90.05727909778167,0.43853869269891094,9.060389518737793
